name,e-number,toxicity,origin,clasif,link
Curcuminas,E100,Baja,---,---,/2016/01/E100.html
Curcumina,E100i,Baja,---,---,/2016/01/E100i.html
Cúrcuma,E100ii,Baja,---,---,/2016/01/E100ii.html
Riboflavinas,E101,Baja,---,---,/2016/01/E101.html
Riboflavina,E101i,Baja,---,---,/2016/01/E101i.html
Fosfato de Riboflavina,E101ii,Baja,---,---,/2016/01/E101ii.html
Riboflavina de Bacillus Subtilis,E101iii,Baja,---,---,/2016/01/E101iii.html
Tartrazina,E102,Alta,---,---,/2016/01/E102.html
Crisoína,E103,Alta,---,---,/2016/01/E103.html
Amarillo de Quinoleína,E104,Alta,---,---,/2016/01/E104.html
Amarillo Sólido,E105,Alta,---,---,/2016/01/E105.html
Amarillo 2G,E107,Alta,---,---,/2016/01/E107.html
Amarillo Ocaso FCF,E110,Alta,---,---,/2016/01/E110.html
Naranja GGN,E111,Alta,---,---,/2016/01/E111.html
Ácido Carmínico,E120,Alta,---,---,/2016/01/E120.html
Rojo Carmín,E120i,Alta,---,---,/2016/01/E120i.html
Extracto de Cochinilla,E120ii,Alta,---,---,/2016/01/E120ii.html
Rojo Cítrico 2,E121,Alta,---,---,/2016/01/E121.html
Azorrubina,E122,Alta,---,---,/2016/01/E122.html
Amaranto,E123,Alta,---,---,/2016/01/E123.html
Ponceau 4R,E124,Alta,---,---,/2016/01/E124.html
Ponceau SX,E125,Alta,---,---,/2016/01/E125.html
Ponceau 6R,E126,Alta,---,---,/2016/01/E126.html
Eritrosina,E127,Alta,---,---,/2016/01/E127.html
Rojo 2G,E128,Alta,---,---,/2016/01/E128.html
Rojo Allura AC,E129,Alta,---,---,/2016/01/E129.html
Azul de Antraquinona,E130,Alta,---,---,/2016/01/E130.html
Azul Patente V,E131,Alta,---,---,/2016/01/E131.html
Indigotina,E132,Media,---,---,/2016/01/E132.html
Azul Brillante FCF,E133,Alta,---,---,/2016/01/E133.html
Clorofilas y Clorofilinas,E140,Baja,---,---,/2016/01/E140.html
Clorofila,E140i,Baja,---,---,/2016/01/E140i.html
Clorofilina,E140ii,Baja,---,---,/2016/01/E140ii.html
Complejos Cúpricos de Clorofilas y Clorofilinas,E141,Baja,---,---,/2016/01/E141.html
Complejo Cúprico de Clorofila,E141i,Baja,---,---,/2016/01/E141i.html
Complejo Cúprico de Clorofilina,E141ii,Baja,---,---,/2016/01/E141ii.html
Verde S,E142,Alta,---,---,/2016/01/E142.html
Verde Sólido FCF,E143,Alta,---,---,/2016/01/E143.html
Caramelos,E150,Media,---,---,/2016/01/E150.html
Caramelo Cáustico,E150a,Media,---,---,/2016/01/E150a.html
Caramelo Caústico de Sulfito,E150b,Media,---,---,/2016/01/E150b.html
Caramelo Amónico,E150c,Media,---,---,/2016/01/E150c.html
Caramelo Amónico de Sulfito,E150d,Media,---,---,/2016/01/E150d.html
Negro Brillante BN,E151,Alta,---,---,/2016/01/E151.html
Negro 7984,E152,Alta,---,---,/2016/01/E152.html
