name,e-number,toxicity,origin,clasif,link
Curcumina,E-100,No nocivo,Vegetal,Colorante,/E-100
Riboflavina,E-101,No nocivo,Animal,Colorante,/E-101
Tartracina/ Tartrazina/ Tartrazine/ Amarillo 5/ Yellow 5,E-102,¡Peligroso!,Químico o sintético,Colorante,/E-102
Amarillo quinoleina/ quinoline yellow,E-104,¡Peligroso!,Químico o sintético,Colorante,/E-104
Lactoflavina,E-106,No nocivo,Indeterminado,Colorante,/E-106
Amarillo naranja/ sunset yellow,E-110,¡Peligroso!,Químico o sintético,Colorante,/E-110
Cochinilla,E-120,¡Peligroso!,Animal,Colorante,/E-120
Azorrubina/ Carmoisina/ Carmoisine/ Red 3/ Azorubina S/ Brillantcarmoisin O/ Acid Red 14/ C.I. 14720,E-122,¡Peligroso!,Químico o sintético,Colorante,/E-122
Amaranto,E-123,¡Peligroso!,Químico o sintético,Colorante,/E-123
Ponceau 4R,E-124,¡Peligroso!,Químico o sintético,Colorante,/E-124
Eritrosina,E-127,¡Peligroso!,Químico o sintético,Colorante,/E-127
Rojo 2G,E-128,¡Peligroso!,Químico o sintético,Colorante,/E-128
Rojo allura AC/ allura red,E-129,¡Peligroso!,Químico o sintético,Colorante,/E-129
Azul patentado,E-131,¡Peligroso!,Químico o sintético,Colorante,/E-131
Indigotina,E-132,No nocivo,Químico o sintético,Colorante,/E-132
Azul,E-133,Sospechoso,Químico o sintético,Colorante,/E-133
Clorofilas,E-140,No nocivo,Vegetal,Colorante,/E-140
Compuesto de clorofila,E-141,Sospechoso,Químico o sintético,Colorante,/E-141
Verde ácido,E-142,¡Peligroso!,Químico o sintético,Colorante,/E-142
Caramelo,E-150,Sospechoso,Indeterminado,Colorante,/E-150
Negro brillante,E-151,¡Peligroso!,Químico o sintético,Colorante,/E-151
Carbón vegetal o animal,E-153,Sospechoso,Indeterminado,Colorante,/E-153
Marrón FK,E-154,¡Peligroso!,Químico o sintético,Colorante,/E-154
Marrón HT,E-155,¡Peligroso!,Químico o sintético,Colorante,/E-155
Carotenoides,E-160,No nocivo,Químico o sintético,Colorante,/E-160
Xantofilas,E-161,No nocivo,Químico o sintético,Colorante,/E-161
Betanina,E-162,No nocivo,Químico o sintético,Colorante,/E-162
Antocianinas,E-163,No nocivo,Vegetal,Colorante,/E-163
Carbonato de calcio/ Carbonato cálcico/ Carbonato Ca,E-170,No nocivo,Químico o sintético,Colorante,/E-170
Dióxido de Titanio,E-171,Sospechoso,Químico o sintético,Colorante,/E-171
Óxido de hierro/ Óxido de Fe,E-172,No nocivo,Químico o sintético,Colorante,/E-172
Aluminio,E-173,Sospechoso,Químico o sintético,Colorante,/E-173
Plata,E-174,Sospechoso,Químico o sintético,Colorante,/E-174
Oro,E-175,Sospechoso,Químico o sintético,Colorante,/E-175
Pigmento rojo,E-180,¡Peligroso!,Químico o sintético,Colorante,/E-180
Ácido sórbico,E-200,No nocivo,Químico o sintético,Conservante,/E-200
Sorbato de sodio/ Sorbato sódico/ Sorbato de Na,E-201,No nocivo,Químico o sintético,Conservante,/E-201
Sorbato de potasio/ Sorbato potásico/ Sorbato de K/ Sal de potasio del ácido sórbico,E-202,Sospechoso,Químico o sintético,Conservante,/E-202
Sorbato de calcio/ Sorbato cálcico/ Sorbato Ca,E-203,No nocivo,Químico o sintético,Conservante,/E-203
Ácido benzoico,E-210,¡Peligroso!,Químico o sintético,Conservante,/E-210
Benzoato de sodio/ Benzoato sódico/ Benzoato Na,E-211,¡Peligroso!,Químico o sintético,Conservante,/E-211
Benzoato de potasio/ Benzoato potásico/ Benzoato K,E-212,¡Peligroso!,Químico o sintético,Conservante,/E-212
Benzoato de calcio/ Benzoato cálcico/ Benzoato Ca,E-213,¡Peligroso!,Químico o sintético,Conservante,/E-213
P-Hidroxilo Etilo,E-214,¡Peligroso!,Químico o sintético,Conservante,/E-214
Derivado H.E.,E-215,¡Peligroso!,Químico o sintético,Conservante,/E-215
Hidroxilo Propilo,E-216,¡Peligroso!,Químico o sintético,Conservante,/E-216
Derivado H.P.,E-217,¡Peligroso!,Químico o sintético,Conservante,/E-217
Hidroxilo Metilo,E-218,¡Peligroso!,Químico o sintético,Conservante,/E-218
Hidróxido M. de Na,E-219,¡Peligroso!,Químico o sintético,Conservante,/E-219
Anhídrido sulfuroso/ Dióxido de azufre/ Óxido de azufre (IV),E-220,¡Peligroso!,Químico o sintético,Conservante,/E-220
Sulfito de sodio/ Sulfito sódico/ Sulfito de Na,E-221,Sospechoso,Químico o sintético,Conservante,/E-221
Bisulfito de sodio/ Bisulfito sódico/ Bisulfito de Na,E-222,Sospechoso,Químico o sintético,Conservante,/E-222
Disulfito de sodio/ Disulfito sódico/ Disulfito de Na,E-223,Sospechoso,Químico o sintético,Conservante,/E-223
Bisulfito de potasio/ Bisulfito de K/ Disulfito de K/ Metabisulfito potásico,E-224,Sospechoso,Químico o sintético,Conservante,/E-224
Disulfito de calcio/ Disulfito cálcico/ Disulfito Ca,E-225,Sospechoso,Químico o sintético,Conservante,/E-225
Sulfito de calcio/ Sulfito cálcico/ Sulfito de Ca,E-226,Sospechoso,Químico o sintético,Conservante,/E-226
Bisulfito de calcio/ Bisulfito cálcico/ Bisulfito de Ca,E-227,Sospechoso,Químico o sintético,Conservante,/E-227
Sulfito ácido de potasio/ Bisulfito de potasio,E-228,¡Peligroso!,Químico o sintético,Conservante,/E-228
Difenilo,E-230,¡Peligroso!,Químico o sintético,Conservante,/E-230
O-fenifenol,E-231,¡Peligroso!,Químico o sintético,Conservante,/E-231
O-fenilfenolato,E-232,¡Peligroso!,Químico o sintético,Conservante,/E-232
Tiabendazol,E-233,¡Peligroso!,Químico o sintético,Conservante,/E-233
Nisina,E-234,No nocivo,Químico o sintético,Conservante,/E-234
Natamicina,E-235,Sospechoso,Químico o sintético,Conservante,/E-235
Ácido fórmico,E-236,¡Peligroso!,Químico o sintético,Conservante,/E-236
Formiato de sodio/ Formiato sódico/ Formiato Na,E-237,¡Peligroso!,Químico o sintético,Conservante,/E-237
Formiato de calcio/ Formiato cálcico/ Formiato Ca,E-238,¡Peligroso!,Químico o sintético,Conservante,/E-238
Hexametileno/ Hexametilentetramina/ Hexamina/ Urotropina/ Formamina/ HMTA/ Hexaformo/ Metenamina,E-239,¡Peligroso!,Químico o sintético,Conservante,/E-239
Ácido bórico,E-240,¡Peligroso!,Químico o sintético,Conservante,/E-240
Tetraborato de potasio/ Tetraborato potásico/ Tetraborato K,E-241,¡Peligroso!,Químico o sintético,Conservante,/E-241
Dimetil dicar.,E-242,Sospechoso,Químico o sintético,Conservante,/E-242
Etil Lauroil Arginato,E-243,No nocivo,Químico o sintético,Conservante,/E-243
Nitrito de potasio/ Nitrito potásico/ Nitrito de K,E-249,¡Peligroso!,Químico o sintético,Conservante,/E-249
Nitrito de sodio/ Nitrito sódico/ Nitrito de Na,E-250,¡Peligroso!,Químico o sintético,Conservante,/E-250
Nitrato de sodio/ Nitrato sódico/ Nitrato de Na,E-251,¡Peligroso!,Químico o sintético,Conservante,/E-251
Nitrato de potasio/ Nitrato potásico/ Nitrato de K,E-252,¡Peligroso!,Químico o sintético,Conservante,/E-252
Ácido acético,E-260,No nocivo,Químico o sintético,Conservante,/E-260
