name,e-number,toxicity,origin,clasif,link
Ácido Acético,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-acetico/
Ácido Adípico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-adipico/
Ácido Ascórbico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-ascorbico/
Ácido Carbónico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-carbonico/
Ácido Cítrico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-citrico/
Ácido Fosfórico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-fosforico/
Ácido Fumárico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-fumarico/
Ácido Láctico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-lactico/
Ácido Málico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-malico/
Ácido Tartárico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-tartarico/
Fosfato Tricálcico,---,Alta,---,---,https://hablemotbhqsclaro.org/ingrepedia/fosfato-tricalcico/
Gluconato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/gluconato-de-calcio/
Gluconato de Magnesio,---,---,---,---,https://hablemosclaro.org/ingrepedia/gluconato-de-magnesio/
Glucono Delta-lactona (GDL),---,---,---,---,https://hablemosclaro.org/ingrepedia/glucono-delta-lactona-gdl/
Azodicarbonamida (ADA),---,---,---,---,https://hablemosclaro.org/ingrepedia/azodicarbonamida-ada/
Bromelina,---,---,---,---,https://hablemosclaro.org/ingrepedia/bromelina/
Carbonato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/carbonato-de-calcio/
Citratos Sódicos,---,---,---,---,https://hablemosclaro.org/ingrepedia/citratos-sodicos/
Dióxido de Azufre,---,---,---,---,https://hablemosclaro.org/ingrepedia/dioxido-de-azufre/
Dióxido de Cloro,---,---,---,---,https://hablemosclaro.org/ingrepedia/dioxido-de-cloro/
Lactato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/lactato-de-calcio/
Lactato de Magnesio-DL,---,---,---,---,https://hablemosclaro.org/ingrepedia/lactato-de-magnesio-dl/
